"UCTAt1.2_S4_trimmed53_len_filtered_counts","UCTBt1.2_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t14_S1_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t14_S2_trimmed53_len_filtered_counts","u2os_trex2a_t21_S4_trimmed53_len_filtered_counts","u2os_trex2b_t21_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t28_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t28_S6_trimmed53_len_filtered_counts"
2401,1,7,23,1,92,7,4
40,411,21,14,1,2,6,1
67,121,2,5,3,1,5,2
476,3,1,5,2,1,4,1
514,1102,36,18,344,169,3,21
3,5,27,4,1071,1,151,3
911,10,5,5,1,1,2,1
2,430,2,39,2,924,3,67
950,384,1,6,3,1,3,1
2,293,3,24,485,381,1,1
788,57,2,2,2,2,4,1
2,181,1,1,1,1,3,1
1,1143,25,7,401,5,5,1
3243,287,4,3,4,44,2,1
1,5,2,1,169,5,8,1
672,1,19,2,389,1,5,1
1655,3,4,3,1,1,7,1
30,2,34,136,111,1207,3,48
1,5,4,26,1,241,5,1
1324,497,1,110,1,626,2,75
2,699,2,5,1,1,1,1
6,1,1,1,109,1,1,1
2,3,9,26,1,89,4,1
2,2,3,11,299,20,7,1
1,670,1,2,1,2,3,3
3677,1760,111,3,213,11,13,1
1,1,1,3,2,1,4,1
1,566,19,19,390,81,29,1
956,1304,12,2,2,149,5,1
885,2,2,26,56,311,3,18
9,1239,17,7,21,5,9,1
121,1211,37,26,22,317,5,34
319,859,85,2,1121,1,97,2
1496,968,60,7,118,32,20,3
565,4,1,1,2,1,1,1
1,2,2,2,197,1,6,2
5,1,2,3,1,1,4,2
1,1,4,20,85,120,6,2
1235,2096,37,4,72,10,6,1
1,16,22,2,173,1,8,1
1,1,1,1,1,1,1,2
231,505,3,40,2,82,2,1
106,41,5,2,1,2,3,1
1,1,1,2,2,1,2,1
1932,1,14,37,97,2,9,2
1688,963,2,1,588,2,5,1
1,469,1,1,8,33,3,1
1,1,1,2,1,1,1,1
1,1,1,1,1,1,2,1
2,1,4,3,1,1,3,1
1,3,1,9,1,1,2,1
24,1,2,3,1,1,7,3
372,413,1,5,1,1,10,1
2551,1,16,52,594,285,34,66
294,3,7,1,183,1,4,1
1192,2,8,46,72,37,30,1
2,4,6,4,47,1,6,1
1,2,3,1,1,1,4,1
1,3,1,1,1,1,1,1
818,2,1,1,1,1,1,1
29,63,2,2,23,1,2,1
26,1532,34,28,96,29,3,1
8,562,49,4,955,4,67,1
15,289,1,1,1,1,2,1
53,1,6,19,40,43,12,1
5,2,3,1,1,1,7,1
1,2,1,7,1,1,3,1
45,3,22,3,427,1,5,3
1,76,3,5,1,64,6,1
2,910,2,1,4,1,2,1
212,1,2,1,1,1,5,1
3,359,8,428,89,5860,8,602
222,2,29,16,12,219,4,30
391,400,3,1,41,1,4,1
1884,1128,1,6,450,1,7,1
753,330,1,1,1,1,3,1
2,179,43,5,661,29,35,1
902,1,4,1,2,1,6,1
1,466,30,1,82,1,1,1
1,1,33,1,179,1,4,1
283,2,1,2,1,1,5,2
728,3,2,1,1,1,2,1
2580,1060,6,2,91,1,12,4
17,1041,5,26,211,149,6,1
10,1,24,2,1,2,2,2
3,673,128,1,937,3,85,1
3,1,1,42,1,65,1,1
155,1,1,1,1,1,4,1
1,1,1,1,1,1,2,1
14,282,29,4,2,3,8,1
2561,1482,1,1,137,3,2,1
736,1,20,2,155,1,13,2
1,2,3,27,1,584,6,18
1,227,2,2,1,1,2,1
1,1,1,2,2,1,4,24
10,3,5,1,1,1,8,1
1305,3,25,8,5,1,8,2
140,1,6,161,1,4982,9,1156
40,14,3,18,5,2,8,1
2,650,1,5,1,1,4,1
252,1,3,17,66,52,5,1
371,397,3,11,2,2,7,2
8,1,1,3,1,1,5,1
1633,4,2,1,1,1,1,1
336,1,1,1,1,1,2,1
1198,1,1,1,1,1,2,1
2,41,3,10,1,132,5,1
1,2,4,1,1,2,3,1
3161,4,3,4,1,1,3,1
3,1592,135,3,921,1,70,4
35,1264,1,2,2,1,2,1
14,291,1,1,130,1,4,1
1,2,1,3,3,1,5,1
1892,1263,72,5,126,1,38,1
1,1,34,36,185,584,1,72
902,1,189,2,1255,3,41,2
14,1047,6,2,2,1,9,2
7,6,1,3,1,1,4,1
450,560,2,6,1,68,7,1
1334,2,48,5,188,2,5,2
1,305,2,45,1,266,10,1
1,1,1,1,1,1,3,1
1,1,1,1,1,1,10,1
1,2,1,1,1,1,6,1
1,1,1,5,194,9,1,1
6,1,71,2,1471,1,169,2
3,2,1,59,67,814,2,79
1,2,1,1,137,2,2,1
13,1,3,3,1,74,1,1
2,1,1,1,217,1,1,1
318,4,71,11,135,176,27,1
1,1,1,1,1,1,5,1
210,4,72,9,236,14,36,1
1,1,2,7,2,1,7,3
1,3,1,2,1,1,1,1
8142,912,5,76,115,874,12,186
1,1,27,37,5,214,10,1
362,2,55,1,199,1,5,1
107,1529,38,2,12,1,7,2
15,1,3,19,6,6,11,1
41,1,1,2,145,1,1,1
1,2,1,2,2,1,6,1
95,1,1,34,1,610,2,32
3,1,1,1,94,1,3,1
1614,274,2,1,1,1,1,1
409,5,2,52,6,462,2,2
4114,1889,22,3,66,97,1,1
1947,188,3,1,1,1,7,1
34,2,1,1,1,1,1,1
335,54,13,96,633,1522,80,229
4,104,4,17,1,116,4,1
12,1,1,8,1,1,1,1
2230,1,1,17,1,1,1,1
637,2,12,3,277,1,4,1
42,541,1,1,306,1,1,1
6,2,1,2,1,1,1,1
589,1621,1,1,1,1,3,1
101,5,2,7,2,1,7,1
562,1,17,1,31,1,7,1
474,2,16,3,90,1,5,1
1,1,21,1,450,1,9,1
64,2,1,1,1,1,1,1
1682,209,39,6,1,89,4,2
2,2,3,1,1,1,2,1
1,3,30,1,1,1,5,1
3,2,5,8,1,1,2,3
279,3,39,1,1,1,2,2
409,3,1,3,214,3,6,3
40,264,18,69,33,487,1,51
473,337,22,1,476,2,13,1
1162,1673,10,4,662,1,37,5
2315,365,2,18,2,1,2,1
1,5,8,1,1,1,1,1
1,5,12,115,1,2797,1,491
166,1,1,1,1,1,1,1
3213,358,2,19,59,241,3,3
1,689,1,1,1,1,1,1
179,2101,19,4,369,1,13,2
202,3,2,11,1,1,4,1
1134,147,1,3,1,1,1,1
111,44,2,1,4,1,1,1
2,661,19,12,1,1,3,2
827,2,1,1,1,1,1,1
435,1,1,4,128,1,5,1
242,3,13,1,25,1,3,1
2,3,3,4,1,1,6,1
28,34,1,1,1,1,2,1
859,503,1,5,477,2,1,2
1,315,1,6,1,114,2,1
447,1115,2,1,1,9,2,1
3606,1245,50,10,4,1,3,1
718,2,1,1,189,1,22,1
45,1,2,3,1,1,2,1
1523,552,29,3,757,2,9,1
107,367,46,1,328,1,5,1
5,141,1,2,1,1,2,1
7,1,3,21,49,14,11,1
4,80,6,15,118,51,13,2
1558,197,1,12,3,1,6,1
2,385,1,20,2,341,2,84
369,519,19,10,186,1,38,2
1295,1016,4,4,1,1,3,1
258,314,1,5,1,4,4,68
16,394,1,2,1,1,4,1
1079,75,2,4,3,1,5,1
1,908,1,47,31,99,1,1
31,1,2,9,2,1,1,1
1,951,8,6,1,25,5,2
35,2,22,12,154,85,77,39
898,3,3,56,1,698,1,104
1378,255,1,1,1,1,3,1
193,3,2,2,1,1,5,2
1164,1,19,5,366,1,28,1
114,4,3,6,1,1,1,1
328,116,2,1,2,1,6,1
891,1290,146,3,1412,65,50,1
1236,7,8,4,216,1,4,2
1784,1976,1,1,5,1,2,1
575,57,15,3,550,1,19,1
6,2,2,1,5,1,2,1
487,565,3,1,1,123,1,2
1462,1,4,2,2,2,4,1
1,1,3,4,225,1,1,1
2514,363,37,2,302,1,6,4
587,1003,32,1,224,1,3,2
31,1361,88,1,1122,8,26,1
191,345,19,1,3,1,2,1
62,3028,1,5,1,1,5,2
661,1,3,3,2,1,2,1
670,739,2,2,396,1,4,1
148,4,2,4,1,1,3,1
9547,367,2,1,14,1,3,1
37,1237,1,1,1,1,3,1
171,43,2,1,1,1,1,1
202,890,1,1,1,173,1,1
6,118,7,1,1,2,1,1
10,638,3,16,1,3,5,1
281,2,1,1,2,1,1,1
1132,376,23,3,589,65,53,3
701,25,1,1,21,1,4,1
163,283,2,1,1,1,1,1
3,1,1,2,1,1,1,2
184,168,92,2,452,2,4,2
61,1,2,1,1,1,1,1
3,4,34,8,324,2,67,1
1,153,81,2,114,1,2,1
2275,628,41,8,62,143,1,1
1,233,2,6,1,1,2,1
1,3,3,15,40,265,3,2
1,93,62,5,852,1,55,1
4,5,1,1,1,2,1,1
441,78,12,2,361,1,1,1
1,114,1,1,2,44,1,1
1848,1373,105,19,528,1,11,1
819,1,1,3,1,1,2,1
2252,159,1,69,1,106,3,1
1,427,12,16,2,152,1,3
22,902,2,8,1,4,4,2
14,1,1,11,1,1,3,1
15,2,12,5,1,1,2,1
2,550,1,10,1,61,1,1
2421,242,1,2,1,1,1,1
806,417,1,11,1,1,1,1
292,2,2,3,1,212,4,1
1,39,2,2,1,1,4,1
1,1,2,1,1,1,1,1
1,8,3,12,1,2,1,1
1,4,24,23,61,21,3,2
450,1459,5,71,237,381,10,194
1,1,20,1,1,1,1,1
1810,305,42,10,755,464,48,44
6,3,1,1,1,1,3,1
1,1,3,2,1,1,1,1
1,1,1,1,1,1,1,1
1565,191,2,1,1,1,4,1
1,1,2,1,76,1,12,1
1,1,1,1,1,1,1,1
2,1,1,1,1,1,2,1
1,473,3,5,20,1,1,1
1,1,1,1,1,1,1,1
1,3,11,7,514,13,42,1
2,1,11,6,344,96,2,1
3,1984,1,1,19,1,4,1
6,1,1,1,128,11,2,1
2,387,26,2,111,3,16,1
1,414,4,4,2,2,1,1
1,1054,2,1,7,1,1,1
694,404,15,19,1,1,3,1
20,1,52,3,1804,3,119,2
45,1,1,1,1,1,1,1
431,347,7,2,1,7,3,1
14,2,19,1,1,1,3,1
2,253,1,10,1,77,1,1
1,1,11,3,1,1,1,1
1,221,1,23,1,1,1,1
5,883,1,12,1,1,2,1
152,1,1,1,1,1,1,1
1,407,1,1,2,1,2,1
2,1660,1,18,148,409,13,52
444,1209,1,1,1,1,1,1
9,704,2,2,1,1,1,1
3,4,27,1,646,1,20,1
123,1326,81,1,1049,1,27,1
8,21,1,1,1,1,1,1
502,608,37,38,3,32,1,1
1,46,33,2,8,1,6,1
1,798,16,2,104,1,3,1
10,1,1,29,158,66,1,1
15,2,1,1,2,1,2,1
22,1,66,2,568,1,2,1
3,2,1,16,1,1,1,1
3,4,1,4,1,1,1,1
34,488,2,12,4,48,2,1
1,4,14,1,1,1,1,1
65,2,1,2,1,1,2,1
1213,2,18,2,16,1,1,1
4,2,1,1,1,1,1,1
1,4,2,1,1,1,3,1
1,25,29,33,133,141,2,1
2866,4,8,1,1,1,5,1
121,77,1,3,1,3,2,1
3978,22,15,1,8,2,1,1
2,976,2,38,1,55,1,2
935,641,45,7,356,1,28,1
1,1,1,1,1,1,1,1
1,1,1,1,214,1,8,1
193,1,1,2,4,41,5,1
1,769,4,2,1,1,1,1
1,8,37,1,78,1,3,1
11,71,2,2,2,1,1,1
1,41,8,1,1,1,1,1
4,372,1,9,1,156,1,1
602,417,1,4,1,1,1,1
13,1,1,1,1,1,1,1
1,785,1,2,1,5,1,1
208,1,2,1,1,1,1,1
774,897,29,65,97,112,2,28
27,1,1,1,1,1,2,1
285,1111,37,3,158,1,5,2
8,2,57,4,5509,1,669,2
568,1,1,2,1,2,1,1
1,1,15,3,39,1,2,1
1,4,3,4,1,1,1,1
1,4,2,4,5,1,2,1
1,2,3,1,1,1,1,1
1,1115,9,2,1,1,2,1
380,219,9,54,1,273,1,39
1,2,6,6,1,1,2,1
1,2,5,1,79,1,15,1
38,2104,8,9,11,61,5,1
12,1,3,17,1,210,2,2
39,447,5,1,1,1,1,1
2,1,2,22,1,135,1,5
508,1,18,1,122,1,2,39
961,2,1,25,238,1,1,1
900,564,9,65,1,423,2,108
1,3,1,3,1,1,1,1
1,3,2,3,62,1,1,1
105,908,3,12,1,99,2,4
1,2,1,1,1,1,1,1
30,414,2,2,399,1,1,1
729,1,1,2,1,43,1,1
1,2,2,16,1,1,3,1
724,172,7,1,1,1,1,1
2,517,32,3,157,1,1,1
89,26,3,1,1,2,4,1
1,1,30,1,252,1,12,4
24,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
116,3,2,18,1,50,4,13
55,606,5,1,1,1,2,1
79,1005,120,17,74,1,2,1
1,70,1,22,29,30,2,1
42,66,1,1,1,1,1,1
1,2,7,1,10,1,5,1
135,589,1,8,1,1,3,1
3,637,1,2,165,1,3,1
2,102,1,4,1,1,1,1
1,273,2,129,1,3092,12,705
4,2,4,10,18,7,9,3
1,1,88,3,4989,1,862,3
3,77,3,49,204,85,4,31
3,2,6,40,90,168,4,14
82,370,54,43,2860,64,265,2
3722,6,2,31,2,128,3,2
3,52,1,2,3,1,5,1
12,1579,173,54,1435,637,112,62
277,2,2,1,1,1,6,1
49,425,1,11,1,6,4,1
103,976,15,15,133,246,6,1
1,748,1,3,1,1,4,1
13,1,2,47,1,401,4,157
670,1,30,38,1,133,1,91
240,1,10,62,243,260,13,1
219,6,50,7,59,5,13,2
36,1724,2,1,4,1,2,1
5,4,1,2,1,1,1,1
2101,340,50,55,603,94,11,3
2,1,2,1,19,3,1,7
3,3,3,1,1,1,1,1
118,813,2,138,407,1060,1,36
4020,1281,129,3,812,2,28,2
5,1,30,94,741,1292,30,177
42,3,2,1,1,1,6,1
3,5,11,52,1,577,2,50
2,5,27,9,247,29,6,2
1,3,1,1,1,1,1,1
9,1514,16,5,161,11,3,1
144,1311,1,6,1,1,3,1
4,1,2,1,364,97,1,1
164,36,1,2,1,22,1,1
334,361,4,27,118,71,3,1
5,369,35,6,486,1,8,2
1,225,12,2,3,1,12,1
533,390,29,34,169,575,16,4
3,451,62,6,563,23,13,2
2,1,1,10,22,1,7,1
2,1,2,4,1,1,3,1
2,533,4,2,3,1,1,1
3031,965,48,11,91,4,5,4
3,3,3,5,1,1,3,1
2779,116,1,22,1,72,2,2
9964,153,55,1,788,1,69,4
131,571,20,38,493,251,11,56
2,148,20,24,215,1,23,2
1730,226,1,1,2,149,1,1
2,4,4,1,49,17,6,1
302,2,3,1,265,2,3,1
483,2,3,11,239,32,7,5
425,2,1,4,2,1,4,2
9,3,23,13,2,1,7,2
83,738,1,7,1,63,2,2
1226,351,3,3,17,36,6,1
179,1068,7,2,184,2,4,3
2198,803,46,1,86,1,1,1
1060,2,22,83,201,573,5,1
1,5,54,6,868,252,28,1
381,3,2,6,1,1,5,3
3057,2,6,3,1,2,1,2
417,336,9,6,6,1,7,2
3879,3,3,2,6,1,3,1
740,331,3,10,1,1,9,1
4,3,10,3,1,9,3,1
3,596,7,18,108,420,4,1
574,719,45,18,284,10,8,2
703,41,183,3,2616,2,254,3
1577,1654,4,31,49,219,1,1
495,217,18,6,1,103,2,1
339,448,55,33,201,1,14,1
403,5,59,3,395,1,19,2
783,278,2,19,2,4,9,1
75,753,17,17,1,25,8,1
2,1323,1,3,18,1,6,1
120,642,15,46,165,151,3,1
4125,1037,1,1,21,1,5,1
106,1100,63,46,215,256,13,13
97,2,13,3,14,1,24,1
1784,814,34,7,196,31,6,1
1,279,1,11,1,63,1,1
1,252,3,2,252,1,7,1
2,2970,1,2,1,1,2,1
463,1,19,4,1,85,3,50
761,709,2,1,1,1,5,3
8801,704,2,1,3,2,5,3
180,749,2,2,231,1,14,1
2371,236,2,47,1,512,1,123
689,35,5,13,96,73,2,1
2431,1379,4,17,32,6,4,1
1,3,3,1,1,15,1,1
2,7,11,2,85,1,12,1
332,96,21,21,280,24,8,1
5,3,1,1,1,1,3,9
2,2,2,2,1,10,10,1
69,2,44,1,265,3,9,1
684,201,7,17,1,75,5,1
496,1,37,1,54,1,3,1
420,1993,18,4,6,1,1,2
3,521,1,11,1,29,4,2
477,2,24,1,273,3,14,1
10,1126,17,51,415,71,32,1
3,765,2,2,5,1,3,2
366,746,1,7,1,68,5,5
196,382,223,56,5856,84,936,14
9,199,1,6,1,1,1,1
411,1172,32,19,286,160,27,4
370,1,2,13,1,1,2,1
30,1,3,1,2,3,1,2
184,306,42,2,258,1,23,1
1,1,13,3,1,1,1,1
10,5,1,1,2,1,2,1
118,1,2,1,1,1,13,1
564,4,33,98,448,1744,23,25
1,49,3,70,202,108,18,2
244,231,18,18,23,137,13,3
1,1,2,1,346,1,1,1
6,1,142,2,6095,5,248,3
571,206,6,2,1,1,2,1
81,1,3,6,16,31,5,5
4,4,22,6,462,94,7,1
1,727,1,6,1,57,1,1
663,403,37,88,707,1036,32,122
865,664,33,52,30,654,11,25
28,154,3,10,3,17,5,1
5,1,1,2,1,1,1,1
98,1,34,31,346,47,19,39
3,1,5,113,1,746,1,151
386,582,19,28,1,34,5,4
48,1,7,3,426,6,4,3
1,261,135,5,1478,1,92,9
1,2,6,10,266,1,7,1
1,1,2,1,1,2,1,2
116,2,3,23,68,391,7,156
1,1,2,1,1,40,1,1
341,392,9,1,5,1,1,1
2,1624,9,1,131,1,2,1
1,1,6,1,1,1,2,1
353,29,162,30,678,191,26,2
27,3,4,8,2,2,4,1
1719,118,6,10,180,60,12,62
9,3,140,16,1425,261,173,34
2,3,51,2,129,2,3,1
100,208,90,21,1133,38,102,6
5,797,3,15,249,15,3,1
826,1,2,8,2,13,7,18
1,134,24,70,540,66,40,1
65,309,164,49,376,440,19,44
102,1,2,3,1,38,3,1
1,1,51,75,195,243,11,2
2,330,1,2,1,2,3,2
16,3,5,15,53,29,1,1
3,171,49,40,710,216,115,3
3,2,15,1,1,2,3,1
2,20,3,2,46,1,4,2
1971,44,78,37,2605,139,218,3
638,3,33,2,229,3,8,1
7,366,1,1,1,1,5,1
9,1,16,3,4,1,11,1
289,15,56,14,730,2,7,1
2,118,3,2,1,2,2,1
152,2,5,3,67,1,3,1
1,398,3,1,1,2,4,1
4,270,1,4,4,1,5,1
51,1,3,16,2,1,6,7
498,1074,5,60,1,964,6,32
51,258,107,11,672,44,24,3
5,1,15,1,4,1,1,1
211,500,68,14,174,1,11,3
1,1694,41,338,2,8989,25,2467
118,608,1,4,81,1,5,1
42,2,24,88,49,206,14,1
288,4,7,10,1,1,7,2
924,164,5,24,105,1,4,1
1,4,47,1,186,1,14,1
302,669,61,51,109,279,7,5
1,1,2,1,60,1,4,1
4,4,10,29,142,287,9,2
301,1,2,5,35,1,8,1
1,1278,13,13,9,1,1,1
1,298,48,25,139,1,2,1
1,590,1,2,1,1,2,1
159,618,3,1,310,2,26,1
983,242,92,7,558,1,29,3
214,498,34,29,423,1206,50,100
3,1,6,19,2,218,5,3
1,1209,1,82,488,517,33,40
35,1,2,24,1,1,5,1
1,2,16,16,157,43,4,1
432,3,1,15,1,1,8,1
1,2,2,2,1,1,6,1
480,6,56,1,47,1,11,1
3,3,26,2,3,1,8,2
1073,3,32,2,993,2,58,4
1037,406,187,4,2147,40,390,7
8,1010,2,28,1,89,3,1
255,393,12,1,65,1,3,1
122,398,13,191,660,3080,20,220
3,19,19,107,113,1,4,2
1,1,1,28,1,60,4,3
4,1,11,2,1,1,2,1
579,251,2,1,1,6,6,2
3011,7,31,31,281,24,15,2
1,1,13,4,7,1,3,1
2,3,1,6,10,1,6,2
1,1455,3,5,1,2,1,1
3,1,21,66,293,19,7,1
1,500,6,9,1,1,8,1
1,529,2,12,3,1,4,3
2,5,30,1,126,1,4,1
179,4,19,11,133,1,6,2
21,2,196,5,3872,2,845,5
1,1,1,1,1,1,1,1
8,2,13,29,144,29,1,1
2,6,81,9,1717,3,84,6
1,205,50,96,748,2449,54,432
234,609,28,30,80,31,13,2
1,28,25,97,120,1019,3,188
2,1,20,2,1,1,6,1
1246,287,35,48,172,126,37,1
138,765,1,74,1,580,1,1
806,2061,1,6,92,2,7,5
853,1936,3,8,3,1,7,2
655,743,12,149,1,855,2,2
39,144,4,4,15,2,6,2
1037,904,6,17,69,2,10,1
6286,3,38,3,2,1,3,1
117,2,1,2,21,1,7,1
5,1660,2,4,34,1,2,3
1,2251,3,2,1,1,2,2
1341,1925,12,21,1,57,8,3
182,7,6,19,1,25,18,1
1,539,2,1,1,1,1,1
1,88,12,20,258,162,4,30
175,511,11,20,7,45,10,2
16,6,3,12,1,89,3,1
1927,371,215,14,3096,1,350,7
4,696,18,31,75,307,9,3
2,3,1,1,1,2,1,2
15,1,2,1,1,1,6,3
2,232,33,5,558,1,43,4
16,1017,3,12,2,3,9,3
1,1875,3,1,1,1,2,1
104,3,3,2,1,1,2,1
85,5,6,102,2,2383,15,894
174,233,3,1,1,1,1,1
1,682,3,3,1,1,2,3
2,1591,64,14,883,171,92,6
956,891,16,40,278,141,31,36
164,1610,28,51,577,529,10,27
1702,555,20,5,3,1,7,4
968,803,74,3,493,1,9,1
1449,29,5,1,1,1,3,1
516,933,120,148,1503,3123,134,631
1,1,4,75,2,349,6,37
241,52,67,124,956,2322,191,470
555,1288,64,4,176,86,15,8
5,672,60,151,196,2849,6,187
1,8,19,8,2,2,9,9
554,713,35,31,230,152,4,2
62,2,3,1,2,1,3,1
369,2260,5,24,184,342,8,3
265,705,44,3,417,1,14,1
1073,1128,48,13,1072,170,15,6
982,727,78,25,1261,94,28,69
60,229,3,4,338,1,5,2
2,160,14,24,1,59,6,1
1240,9,43,7,451,3,27,2
13,1881,2,2,1,51,5,1
1,182,6,9,4,1,1,3
1,152,5,10,86,21,1,3
2065,1334,10,11,2,16,13,3
2873,1262,330,7,13322,3,1300,11
525,2,75,77,1074,314,108,4
5,1,2,6,1,1,4,5
336,412,23,6,1,2,6,2
155,1461,34,120,540,595,39,1
18,456,21,3,207,68,31,24
2048,612,48,11,963,1,97,3
1310,507,4,20,1,114,8,3
13,924,32,1,380,1,29,2
541,249,37,12,1,4,14,3
31,815,161,10,878,107,107,52
1403,106,4,30,689,195,11,3
77,357,47,22,70,132,5,2
1905,1,23,220,160,7585,18,1680
27,1679,52,22,766,225,89,18
5,980,70,16,652,20,9,3
2069,456,2,60,2,406,7,30
1205,2279,68,51,315,275,42,5
1251,1501,6,10,3,5,2,9
720,453,16,23,467,33,30,4
342,2312,35,312,563,2089,57,376
2811,1017,37,6,21,3,2,1
21,1662,69,3,2605,3,293,5
1,608,4,11,1,120,6,2
2,4,20,1,2,1,3,1
1,1,5,2,2,1,8,2
1169,8,12,4,46,2,3,3
308,738,51,9,867,20,16,4
271,2364,83,96,553,556,35,4
495,1006,2,6,2,84,6,2
1041,1,23,26,263,161,16,1
1736,670,2,8,3,88,2,2
1,1,4,1,16,1,6,5
3,66,54,9,88,1,9,4
1,1324,32,12,2,4,9,7
3878,68,1,5,1,1,3,1
10,1,24,1,1175,1,40,1
1,417,12,2,127,1,2,1
42,695,41,2,147,1,1,1
973,486,2,1,112,1,1,1
1231,210,4,67,219,799,17,1
34,2,2,72,555,939,20,19
61,4,166,31,2288,290,105,3
925,3,23,11,41,1,6,2
722,292,3,17,1,201,2,73
1293,127,26,6,68,29,6,2
758,3238,1,18,287,38,10,2
8471,366,73,5,1549,2,218,4
1,4,1,2,1,1,4,1
2,49,28,52,714,541,43,3
758,5,18,12,57,2,16,5
422,10,69,51,1336,150,107,13
196,2,28,3,12,1,4,3
710,370,5,7,1,36,6,1
11,9,6,5,2,1,9,5
90,542,18,2,1,1,1,1
1,1230,5,9,1,2,4,3
12,505,35,2,63,1,5,1
7181,1671,45,10,330,19,16,7
640,2,75,36,591,135,5,1
99,715,41,5,1,30,5,3
1296,5,28,9,157,1,10,2
1651,3,112,4,708,2,56,4
96,543,6,19,65,2,1,2
45,554,37,1,61,1,7,2
2,1,1,4,1,1,1,1
38,410,18,6,243,109,18,1
2,158,5,2,1,2,2,1
706,591,4,4,1,1,5,2
1,1,2,1,1,1,1,1
1227,1,7,57,154,388,7,76
2557,705,33,86,89,509,3,1
436,3,1,3,3,1,10,7
114,1,1,11,2,1,1,2
3,1,5,35,1,415,1,1
2,324,3,37,7,1101,3,279
106,2,53,13,1205,1,271,1
3,132,2,3,3,4,3,2
1,170,3,1,1,1,2,1
186,167,22,1,785,1,39,2
361,1431,75,21,22,1,25,1
334,970,20,111,6,972,6,247
59,1,2,2,1,1,1,1
113,1007,3,32,2,300,6,23
2,1,14,1,251,1,1,1
68,1975,9,416,10,11061,14,1410
63,1,25,1,453,1,1,1
1,397,3,104,1,395,3,28
2445,704,23,16,4,15,8,3
4,473,10,2,611,2,38,2
1635,225,1,2,1,1,5,3
193,195,1,21,585,60,1,1
4,455,2,2,1,1,6,1
276,58,234,55,3494,197,220,3
1,73,1,1,35,2,2,1
3,656,24,1,3,1,3,1
237,1055,4,4,1,1,2,1
3715,7,18,22,163,1,17,1
7,3,3,20,1,302,4,41
1009,621,3,7,1,1,6,3
2,3,1,7,1,1,3,1
11,160,1,1,1,1,1,1
1174,298,1,5,134,1,22,3
374,793,1,3,1,1,1,1
25,4,50,6,1289,2,11,3
3,164,3,12,1,147,3,37
1,10,64,12,774,73,66,2
4,1,1,8,1,98,7,1
241,2,1,1,1,4,4,3
27,3,4,6,1,1,4,4
2561,499,3,15,2,793,18,229
953,2188,89,4,1856,2,47,4
68,674,41,2,680,1,24,1
308,379,290,3,796,8,20,3
266,432,23,5,89,3,8,3
1,411,1,1,246,1,5,1
314,1224,3,10,1,251,5,14
9,4,1,7,1,99,2,1
344,2024,27,14,106,128,5,1
41,478,3,20,1,320,10,52
2,6,19,2,686,59,4,3
296,517,76,7,238,14,11,3
4,2,39,2,1430,4,110,3
5,2,1,3,494,1,3,4
2,1,1,3,105,1,1,1
843,443,31,1,622,51,16,4
2,4,1,13,1,108,3,3
704,1249,3,15,2,1,3,2
2182,1094,35,5,556,67,9,5
8,392,1,8,207,1,3,3
1,779,13,22,212,42,3,1
1,428,46,5,87,1,4,1
790,655,2,2,1,1,1,2
1,4,3,1,312,1,15,3
2,230,32,45,567,119,5,33
131,2,13,7,35,1,5,5
342,7,5,16,29,128,6,75
4,1,2,1,1,2,5,1
324,1,1,3,251,4,3,2
83,728,5,3,2,1,3,2
1056,205,2,4,236,3,10,1
819,3,3,46,29,542,4,159
2,424,2,5,1,2,3,5
888,33,3,34,1,252,4,1
1,1,1,14,3,45,6,1
1473,572,1,19,376,30,3,2
8,283,1,22,138,1,9,1
39,246,2,32,342,82,9,1
307,201,4,19,1,2,7,3
362,421,152,9,493,1,21,3
962,1063,45,4,349,60,1,1
1155,5224,69,69,94,1688,21,374
10439,617,59,19,250,10,43,2
494,378,2,21,103,2,2,4
5,1,26,17,1,1,3,1
1,451,106,3,3048,76,201,4
987,224,1,2,1,161,2,1
398,1216,24,242,866,4409,118,758
204,102,9,3,1,1,1,2
679,57,1,4,1,1,4,2
749,136,4,22,1,1,2,1
4476,407,106,8,1536,54,19,1
5,668,3,7,18,3,10,3
2,1126,4,5,3,2,5,3
1,116,2,55,126,60,7,1
796,1295,38,16,544,43,24,2
1,185,3,3,3,1,4,4
784,522,24,7,343,2,126,5
629,1,2,29,2,35,5,1
154,900,29,18,455,284,52,5
4,1,5,3,121,5,4,2
3531,3,9,2,82,28,1,1
99,1,1,1,1,1,1,1
1184,1732,71,9,303,224,12,1
412,1,2,1,1,1,2,1
28,710,22,6,211,1,39,2
7,2,186,55,607,194,30,4
1608,3,114,12,517,7,60,6
1515,1149,18,111,705,1386,29,39
1,1,3,1,1,2,3,3
671,1231,75,6,356,27,19,2
6,501,10,46,10,528,25,43
26,2653,54,52,152,977,22,399
431,482,53,33,289,335,11,57
892,7,5,15,1,30,9,4
1,1,5,66,1,49,1,50
34,927,115,60,3893,262,528,40
33,2,4,4,6,2,5,1
424,1010,14,49,232,332,8,38
