"UCTAt1.2_S4_trimmed53_len_filtered_counts","UCTBt1.2_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t14_S1_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t14_S2_trimmed53_len_filtered_counts","u2os_trex2a_t21_S4_trimmed53_len_filtered_counts","u2os_trex2b_t21_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t28_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t28_S6_trimmed53_len_filtered_counts"
34,5,4,22,5,140,5,25
82,4,87,9,1181,133,100,4
1,5,62,13,310,59,15,5
30,8,77,13,1482,16,28,4
234,5,82,22,793,88,40,9
613,252,209,117,5283,1266,388,340
1,1249,42,105,364,508,19,54
1,659,3,4,3,2,2,3
1,2,96,12,1030,95,36,1
424,899,34,8,451,37,33,3
1082,2,61,55,64,60,11,4
1094,243,57,5,869,58,58,5
406,6,70,53,180,258,19,7
2,655,104,4,700,37,29,2
7,78,96,184,602,1451,36,72
100,426,48,149,560,1175,16,249
1317,99,12,34,602,85,4,1
722,287,15,8,72,168,6,42
14,670,78,18,1118,6,40,1
202,423,3,60,206,533,9,27
13,7,112,85,1620,549,172,34
4,3,40,37,198,150,5,21
4,438,24,23,197,7,6,6
101,511,31,25,17,2,8,4
2,1057,52,52,619,818,52,23
1,765,59,53,484,125,9,1
6111,321,45,12,323,18,8,36
8,491,16,104,3,1061,4,40
1,555,86,36,371,108,20,3
527,316,103,43,3917,422,367,27
51,718,87,36,706,233,20,2
404,2,26,47,671,45,29,34
463,340,29,1,627,2,43,2
560,2,22,4,207,1,9,5
16,1244,39,2,307,2,2,3
1312,137,3,16,72,1,17,3
3,1,22,71,39,143,3,1
642,205,5,12,1,7,5,8
4557,2,45,12,97,2,9,5
1091,2,46,60,4,416,3,61
508,6,175,15,5342,2,633,12
2,1,2,11,1,19,5,2
279,1875,122,31,2117,129,170,3
1,4,3,6,135,1,3,1
1579,159,112,50,935,390,46,1
7623,3,207,162,862,2256,29,194
1090,6,79,12,601,55,86,5
615,948,8,5,4,1,4,1
1,161,60,2,166,1,1,2
2085,372,197,4,1245,2,23,9
13,545,124,21,730,5,63,5
1,2,63,79,524,504,33,1
463,50,26,117,762,988,36,38
474,263,89,379,478,9990,50,2887
1179,5,13,5,190,3,9,3
380,303,73,14,102,4,34,9
1,1342,109,59,1871,247,212,61
22,2,9,10,1,1,5,3
2,4,36,22,13,3,29,3
3,749,48,38,120,68,17,4
590,1,131,6,3182,3,282,1
1,519,6,42,4,297,20,156
45,138,147,6,2451,126,174,5
1,125,47,248,1116,1366,7,18
1,239,125,8,383,1,24,3
2,773,45,33,420,735,52,257
659,4,54,69,231,1186,8,112
19,97,106,171,595,1211,28,109
170,6,40,101,329,849,27,193
798,482,99,96,1750,873,110,212
1,950,3,8,82,1,3,1
1,18,43,4,121,1,5,3
1386,865,41,47,349,1,12,4
6738,2,74,8,133,1,7,6
131,1005,68,10,1158,1,144,5
2,404,6,10,5,4,8,2
1,293,8,113,1,462,12,5
1,131,26,39,220,41,11,3
2903,487,93,141,1246,2087,165,164
3,2303,38,18,670,95,43,3
77,697,55,9,892,108,26,3
35,1971,20,55,53,15,12,11
18,194,25,53,428,109,16,9
1,451,4,1,1,3,1,1
3,746,56,92,104,248,12,8
2,1,5,71,1,118,7,4
1,1,2,2,1,1,4,1
1,78,49,304,319,3320,15,401
978,159,32,100,319,585,34,7
4,612,9,11,3,2,6,2
1,1,117,158,1010,944,58,98
806,3,105,5,1460,54,91,3
1,1,5,61,2,500,5,5
1372,1285,43,212,218,1264,26,189
375,1,41,156,16,1959,10,302
3,501,60,26,320,395,42,5
6,3,6,29,168,175,56,34
1167,937,3,10,3,2,10,1
3,6,264,17,1642,23,117,4
534,5,6,42,133,337,11,1
1,517,43,23,443,315,22,4
